NAME,LATITUDE,LONGITUDE,CATEGORY,ADDRESS,CITY,PROVINCE,RATING,REVIEWS,NEARBY_MOSQUES,NEARBY_TOILETS,NEARBY_HALAL_FOOD,NEARBY_UMKM,NEARBY_LODGING,MOSQUE_SAMPLES,FOOD_SAMPLES,UMKM_SAMPLES,SOURCE,VENDOR_ID,STATUS
"Wisata Alam Pakusila",-7.4563576,108.2040889,"tourist_attraction","G6V3+FJ4, Kp nangela, RT.03/RW.01, Neglasari, Kec. Jatiwaras, Kabupaten Tasikmalaya, Jawa Barat 46185, Indonesia","Jawa Barat 46185","Kabupaten Tasikmalaya",4.5,4,0,0,1,0,0,"","LAZATTO Chicken & Burger.","","google","ChIJjxCWRPT5ZS4RTSRh_FMRBwE","PENDING"
"Kebun Teh Taraju",-7.466728900000001,107.9477703,"tourist_attraction","GWMX+842, Jalan Raya, Bojonggambir, Banyuasih, Kec. Taraju, Kabupaten Tasikmalaya, Jawa Barat 44173, Indonesia","Jawa Barat 44173","Kabupaten Tasikmalaya",4.6,204,0,0,0,0,1,"","","","google","ChIJUQCF2gADZi4RMCgSi--EivQ","PENDING"
"Pantai Karang Tawulan",-7.813352,108.2997572,"tourist_attraction","57PX+MW2, Cimanuk, Kalapagenep, Kec. Cikalong, Kabupaten Tasikmalaya, Jawa Barat 46195, Indonesia","Jawa Barat 46195","Kabupaten Tasikmalaya",4.6,4060,0,0,0,0,0,"","","","google","ChIJm_9lqXfEZS4R74i0TVJ-v-E","PENDING"
"Situ Gede Attractions",-7.3376534,108.1904753,"tourist_attraction","Jl. Situ Gede, Linggajaya, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46181, Indonesia","Jawa Barat 46181","Kab. Tasikmalaya",4.4,1742,3,0,3,0,20,"Mesjid Al-Amaliah; Masjid Al-Anhar; Mesjid","Andalusia; Warung Nasi Bruk Brak; SAUNG ANGKRING SITUGEDE","","google","ChIJDV8XDCBXby4R_QqZgsJwRw8","PENDING"
"Badak & Batu Hanoman Waterfall",-7.2156796,108.1031597,"tourist_attraction","Sukasetia, Cisayong, Tasikmalaya Regency, West Java 42056, Indonesia","West Java 42056","Tasikmalaya Regency",4.4,1806,1,0,0,0,1,"Mushola An Nur","","","google","ChIJQUCNCKJNby4RPB6AkXCPT1E","PENDING"
"Curug Batu Blek",-7.2374651,108.0997114,"tourist_attraction","Q37X+2V8, Sukamukti, Cisayong, Tasikmalaya Regency, West Java 46153, Indonesia","West Java 46153","Tasikmalaya Regency",4.5,351,0,0,0,0,2,"","","","google","ChIJkznFmhNSby4RSZboFnnPZ0c","PENDING"
"HIGH ROPE Karang Resik",-7.3123651,108.2413025,"tourist_attraction","M6QR+3G3, Sukamanah, Cipedes, Tasikmalaya Regency, West Java 46131, Indonesia","West Java 46131","Tasikmalaya Regency",4.2,54,1,1,1,0,20,"Masjid Al Abror- Sukagalih","Adu Manis","","google","ChIJ4cndGgFaby4Rb1SwwyvYfhs","PENDING"
"Wisata Alam Pinus Ciherang (Curug Ciherang)",-7.222215899999999,108.1080061,"tourist_attraction","Q4H5+466, Sukamukti, Cisayong, Tasikmalaya Regency, West Java 46153, Indonesia","West Java 46153","Tasikmalaya Regency",4.4,244,0,0,0,0,1,"","","","google","ChIJv-rG0KxNby4RpN2lfCJV3z4","PENDING"
"Tonjong Canyon",-7.6692814,108.0321469,"tourist_attraction","Nagrog, RT.1/RW.1, Tanjungsari, Kec. Cipatujah, Kabupaten Tasikmalaya, Jawa Barat 46189, Indonesia","Jawa Barat 46189","Kabupaten Tasikmalaya",4.5,45,0,0,0,0,2,"","","","google","ChIJZxycYtsLZi4RNX7u5KdHEcE","PENDING"
"Curug Panetean",-7.7466968,108.2657019,"tourist_attraction","Pangliaran, Pancatengah, Tasikmalaya Regency, West Java 46194, Indonesia","West Java 46194","Tasikmalaya Regency",4.6,368,1,0,0,0,0,"Mushola","","","google","ChIJ-3qLtxLDZS4ReWvy0Za2Gh8","PENDING"
"Bukit Kacapi",-7.321162299999999,107.9620373,"tourist_attraction","Tanjungkarang, Cigalontang, Tasikmalaya Regency, West Java 46463, Indonesia","West Java 46463","Tasikmalaya Regency",4.3,862,0,0,0,0,0,"","","","google","ChIJR9UwMwSsaC4RfBbM-Xhp6YY","PENDING"
"Wisata Alam Pasir Mudik",-7.378934200000001,108.2842762,"tourist_attraction","Kp, J7CM+CPC, Jl. Sukamulya desa, Cibeber, Kec. Manonjaya, Kabupaten Tasikmalaya, Jawa Barat 46197, Indonesia","Jawa Barat 46197","Kabupaten Tasikmalaya",0,0,0,0,0,0,3,"","","","google","ChIJS-JPXyJZby4Rub5jrHSJR7c","PENDING"
"Gado Bangkong Waterfall",-7.2490592,108.1125059,"tourist_attraction","Q427+92C, Santanamekar, Cisayong, Tasikmalaya Regency, West Java 46153, Indonesia","West Java 46153","Tasikmalaya Regency",4.4,283,1,0,0,0,2,"Mushola Al-Ikhlas","","","google","ChIJVVVVVXJSby4RmoNI_h-Tgcg","PENDING"
"Bukit Garuda Ngupuk",-7.420452099999999,108.1799423,"tourist_attraction","H5HH+RX8, Tarunajaya, Sukaraja, Tasikmalaya Regency, West Java 46183, Indonesia","West Java 46183","Tasikmalaya Regency",4.5,87,1,0,0,0,0,"Mesjid Cimanggu Babakan","","","google","ChIJb-gC06n5ZS4RYDoYWb-y480","PENDING"
"Kampung Wisata Babakan Sanca",-7.289221999999999,108.20589,"umkm","Unnamed Road, Sirnagalih, Kec. Indihiang, Kab. Tasikmalaya, Jawa Barat 46151, Indonesia","Jawa Barat 46151","Kab. Tasikmalaya",4.4,42,2,0,5,0,20,"Masjid As-Sa'id; Masjid Arohman Cibeurih","Rumah Makan Saung Ranggon; Bakmie 76; PISANG PASIR ENDES (PISPAS ENDES)","","google","ChIJc7r_kiJRby4RvR-RZqrp0H8","PENDING"
"Bukit Nangela",-7.422964599999998,108.2154678,"tourist_attraction","Urug, Kawalu, Tasikmalaya Regency, West Java 46182, Indonesia","West Java 46182","Tasikmalaya Regency",4.3,42,0,0,0,0,0,"","","","google","ChIJsRU9uyn5ZS4RpT7XSewXL7I","PENDING"
"Saung ciakar",-7.360788299999999,108.2735283,"tourist_attraction","J7QF+PMR, Ciakar, Cibeureum, Tasikmalaya Regency, West Java 46196, Indonesia","West Java 46196","Tasikmalaya Regency",4.3,41,1,0,1,0,14,"Masjid Al-Anwar Ciherang","Saung Kai 3","","google","ChIJH2fZ161Zby4R0C3wNX_kOQ0","PENDING"
"Kampung Wisata Cigede Setiarasa",-7.3109481,108.1998371,"tourist_attraction","Belakang Samsat, Jl. Setiarasa, Sukamulya, Kec. Bungursari, Kab. Tasikmalaya, Jawa Barat 46151, Indonesia","Jawa Barat 46151","Kab. Tasikmalaya",4.8,10,3,4,4,1,20,"Masjid Jami Saleh Hasanah; Masjid Baitul Jannah; Masjid An-Nur","D'NOXIS FOOD COURT; Rumah Makan Saung Ranggon; SOTO KHAS BETAWI IBU SITI","PUSAT BORDIR TASIKMALAYA","google","ChIJixA3D8dRby4R9lJj32-nYew","PENDING"
"Mount Galunggung",-7.2572783,108.0802355,"tourist_attraction","P3VJ+33Q, Jl. Ke Kawah, Linggajati, Kec. Sukaratu, Kabupaten Tasikmalaya, Jawa Barat 46415, Indonesia","Jawa Barat 46415","Kabupaten Tasikmalaya",4.6,1757,1,0,0,0,1,"Mushola Kawah Galunggung","","","google","ChIJF12us5NSby4RyoCREyngXVQ","PENDING"
"Curug Dengdeng",-7.6417968,108.3236802,"tourist_attraction","985F+7FM, Cikatomas, Tawang, Kec. Pancatengah, Kabupaten Tasikmalaya, Jawa Barat 46194, Indonesia","Jawa Barat 46194","Kabupaten Tasikmalaya",4.3,966,0,0,1,0,0,"","Saung Lesehan Cudeng Pass Kang Asep","","google","ChIJcZbpHa3uZS4RWsOH42wds3k","PENDING"
"SWARA ALAM TASIKMALAYA",-7.356886599999999,108.2590661,"tourist_attraction","Jl. Cilendek No.212, Kotabaru, Kec. Cibeureum, Kab. Tasikmalaya, Jawa Barat 46196, Indonesia","Jawa Barat 46196","Kab. Tasikmalaya",5,2,3,0,3,1,20,"Masjid As Salam; Masjid Ar Rohmat; masjid","Sate Putra Condong (Mambo kuliner Nite)); Saung Kai 3; Warung Nasi Bronco","CV. MENDONG JAYA","google","ChIJ632iBgBZby4Ro7gG9F7BfL8","PENDING"
"Curug Pamutuh",-7.292684800000001,108.0841844,"tourist_attraction","P34M+WMF, Cigadog, Leuwisari, Tasikmalaya Regency, West Java 46464, Indonesia","West Java 46464","Tasikmalaya Regency",4.5,175,0,0,0,0,2,"","","","google","ChIJ6-Xt3A9Tby4RoeL0F-fsXkQ","PENDING"
"Mangkubumi Recration and Water Park",-7.345650200000001,108.1857252,"tourist_attraction","Jl. AH Nasution No.Km 7, Mangkubumi, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46418, Indonesia","Jawa Barat 46418","Kab. Tasikmalaya",4.5,1607,1,0,7,0,20,"Mesjid","Bale Balong Mangkubumi; Warung Nasi Teh Yeyet; Andalusia","","google","ChIJlfPDzuVWby4R7vSSIseIzLc","PENDING"
"Galunggung Great Waterfall",-7.2626502,108.0795244,"tourist_attraction","P3PH+WRJ, Jl. Ke Kawah, Linggajati, Kec. Sukaratu, Kabupaten Tasikmalaya, Jawa Barat 46415, Indonesia","Jawa Barat 46415","Kabupaten Tasikmalaya",4.5,891,1,0,0,0,1,"Mushola Kawah Galunggung","","","google","ChIJnbkB9OxSby4RxpscMHPKXkk","PENDING"
"Pasir Datar Galunggung",-7.2545697,108.093311,"tourist_attraction","Jl. Ke Kawah, Linggajati, Kec. Sukaratu, Kabupaten Tasikmalaya, Jawa Barat 46415, Indonesia","Jawa Barat 46415","Kabupaten Tasikmalaya",4.6,234,0,0,0,0,2,"","","","google","ChIJO9e-LpRTby4R7fVU1XNH4FA","PENDING"
"TeeJay Waterpark",-7.3415404,108.2144443,"tourist_attraction","Komplek, Jl. Asia Plaza, Tuguraja, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46125, Indonesia","Jawa Barat 46125","Kab. Tasikmalaya",4.4,6463,6,4,17,0,20,"MASJID AL ISHLAH | Asia Plaza; Jalan masjid dartaQwa; Masjid jami AL-BAROKAH","SAUNG TONCOM & KOPI MAQHA; Matbakhi Arabian Food Tasikmalaya; Dadaha Junction","","google","ChIJ99A4UmtXby4RQg4i8BAQ8Qc","PENDING"
"Bukit Nangreu Galunggung",-7.261007599999999,108.0864231,"tourist_attraction","Linggajati, Sukaratu, Tasikmalaya Regency, West Java 46415, Indonesia","West Java 46415","Tasikmalaya Regency",4.7,328,1,0,0,0,1,"Mushola Kawah Galunggung","","","google","ChIJzaba0fdTby4R809f9mZGqsA","PENDING"
"Lamping Dipa, Cipanengah Bike Park",-7.4144875,108.2276406,"tourist_attraction","H6PH+632, Gunungtandala, Kawalu, Tasikmalaya Regency, West Java 46182, Indonesia","West Java 46182","Tasikmalaya Regency",4.1,10,0,0,0,0,1,"","","","google","ChIJO2punvT5ZS4R9o8qp-XaLqk","PENDING"
"Upper Pool - Cipanas Galunggung",-7.2658426,108.0944815,"umkm","Jl. Ke Cipanas No.15, Linggajati, Kec. Sukaratu, Kabupaten Tasikmalaya, Jawa Barat 46415, Indonesia","Jawa Barat 46415","Kabupaten Tasikmalaya",4.3,450,0,0,0,0,2,"","","","google","ChIJ9avTNKNTby4RxG95t3ODRlo","PENDING"
"Situ Sanghyang",-7.4017602,108.1505324,"tourist_attraction","Jalan Raya Cibalanarik Cilolohan, Cibalanarik, Kec. Tanjungjaya, Kabupaten Tasikmalaya, Jawa Barat 46183, Indonesia","Jawa Barat 46183","Kabupaten Tasikmalaya",4.2,828,2,0,0,0,2,"Mushola Ar-Rahman (Kp. Pangauban) Cibalanarik; Mesjid As-Shoban Cibalanarik","","","google","ChIJF9mWcwJWby4R0gD1rPQ7ZQE","PENDING"
"Wisata Alam Baraya Gunpay",-7.2905414,108.2685085,"tourist_attraction","P759+QCJ, gunung payung, Panaragan, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261, Indonesia","Jawa Barat 46261","Kabupaten Ciamis",4.5,6,0,0,0,0,12,"","","","google","ChIJ9QVz6XBbby4Rhex538WYF2U","PENDING"
"Puncak Nangela",-7.423413099999999,108.2139245,"tourist_attraction","H6G7+JHM, Urug, Kawalu, Tasikmalaya Regency, West Java 46182, Indonesia","West Java 46182","Tasikmalaya Regency",4.5,21,0,0,0,0,0,"","","","google","ChIJ46CI8Vr5ZS4RB2y2FBi-uR4","PENDING"
"Babakan sanca",-7.2892999,108.2051665,"tourist_attraction","Cipapagan, P664+73M, Sirnagalih, Kec. Indihiang, Kab. Tasikmalaya, Jawa Barat 46151, Indonesia","Jawa Barat 46151","Kab. Tasikmalaya",4.6,8,2,0,5,0,20,"Masjid As-Sa'id; Masjid Arohman Cibeurih","Rumah Makan Saung Ranggon; Bakmie 76; PISANG PASIR ENDES (PISPAS ENDES)","","google","ChIJ598Oeq5Rby4RVqX8V9RsqLc","PENDING"
"Wisata Alam Cireong Park",-7.2698291,108.2556141,"tourist_attraction","Sukaresik, P7C3+9P5, Sindangkasih, Kec. Sindangkasih, Kabupaten Ciamis, Jawa Barat 46261, Indonesia","Jawa Barat 46261","Kabupaten Ciamis",4.4,2797,1,0,0,0,9,"Mushola AlFurqon","","","google","ChIJD66U0Itaby4RriJrLGQPCUk","PENDING"
"Kawah Gunung Galunggung",-7.2569237,108.0782899,"tourist_attraction","Linggajati, Sukaratu, Tasikmalaya Regency, West Java 46415, Indonesia","West Java 46415","Tasikmalaya Regency",4.6,809,1,0,0,0,1,"Mushola Kawah Galunggung","","","google","ChIJO3vmDZFSby4Rs9Jy5G3UeJg","PENDING"
"Waterboom Ma'arif Garden",-7.302174099999999,108.1967732,"tourist_attraction","Sukarindik, Jalan Gunung 7, Sukarindik, Kec. Bungursari, Kab. Tasikmalaya, Jawa Barat 46151, Indonesia","Jawa Barat 46151","Kab. Tasikmalaya",4.4,438,4,1,3,1,20,"Masjid Jami Saleh Hasanah; Masjid Al-Muhajirin Perum Sukarindik; Musala Al-Kalam","Rumah Makan Saung Ranggon; SOTO KHAS BETAWI IBU SITI; Saung Gunung 7","PUSAT BORDIR TASIKMALAYA","google","ChIJSRxw4dtQby4Rc7QwWlDPJrs","PENDING"
"Lubang Timah Waterfall",-7.2191233,108.2546305,"tourist_attraction","Q7J3+9V2, jalan lubang timah, Gn. Sawal, Kec. Cihaurbeuti, Kabupaten Ciamis, Jawa Barat 46262, Indonesia","Jawa Barat 46262","Kabupaten Ciamis",4.7,310,0,0,0,0,0,"","","","google","ChIJ7VVWMERFby4RI2SpPHyG2h4","PENDING"
"Situ Gede Pintu Masuk",-7.3374553,108.1910651,"tourist_attraction","M57R+29V, Jl. Situ Gede, Linggajaya, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46181, Indonesia","Jawa Barat 46181","Kab. Tasikmalaya",4.4,171,3,0,5,0,20,"Mesjid Al-Amaliah; Masjid Al-Anhar; Mesjid","Warung Nasi Teh Yeyet; Warung Nasi Bruk Brak; Andalusia","","google","ChIJ9wrBRQ9Xby4R_JIVihQGwHc","PENDING"
"Jembatan cipanyir",-7.309870999999999,108.2115686,"tourist_attraction","M6R6+5GG Taman Sindangsari, Cipedes, Kec. Cipedes, Kab. Tasikmalaya, Jawa Barat 46133, Indonesia","Jawa Barat 46133","Kab. Tasikmalaya",4.7,39,3,2,2,1,20,"Masjid An-Nur; Gedung Serbaguna Suryalaya Tasikmalaya; Masjid Al-Amanah Bobojong","Sambel Pecel Pele; Bubur Ayam Plat Z","PUSAT BORDIR TASIKMALAYA","google","ChIJieBIAdNRby4RvHGXNQZ3elc","PENDING"
"Entrance Area Tourism Galunggung",-7.269632400000001,108.0977455,"tourist_attraction","Jl. Ke Cipanas No.30, Linggajati, Kec. Sukaratu, Kabupaten Tasikmalaya, Jawa Barat 46415, Indonesia","Jawa Barat 46415","Kabupaten Tasikmalaya",4.4,933,0,0,0,0,2,"","","","google","ChIJI4MmgVdSby4RaJTSANFcUHk","PENDING"
"Alun-Alun Kota Tasikmalaya",-7.3262114,108.2241935,"tourist_attraction","Jl. Otto Iskandardinata, Empangsari, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46113, Indonesia","Jawa Barat 46113","Kab. Tasikmalaya",4.6,9089,4,2,20,1,20,"Masjid Al Mu'min Kalektoran; Masjid At-Taqwa; Masjid Al Fatah","LAOBAN TASIKMALAYA by UNCLE OSH T; Tiga_Macan; Kenyang Culinary Tasikmalaya","PUSAT BORDIR TASIKMALAYA","google","ChIJf6RWjE9Xby4RqL1n-aBZheU","PENDING"
"Taman Pico",-7.314739999999999,108.1433083,"tourist_attraction","M4PV+68F, Tawangbanteng, Sukaratu, Tasikmalaya Regency, West Java 46466, Indonesia","West Java 46466","Tasikmalaya Regency",4.4,162,1,0,0,0,15,"Mushola Cilaja Ombah","","","google","ChIJe6hRQLtRby4R4IHGJXGKoMQ","PENDING"
"Bukit Sampalan Asri",-7.236085999999998,108.2230105,"tourist_attraction","Q67F+H5G, Sukamaju, Cihaurbeuti, Ciamis Regency, West Java 46262, Indonesia","West Java 46262","Ciamis Regency",4.6,442,1,0,0,0,2,"MASJID Al Hidayah /Majelis Taklim Al Hidayah 1","","","google","ChIJT8Tc4htRby4Rje4WDeRVs08","PENDING"
"Water park karang resik",-7.312104600000001,108.2399231,"tourist_attraction","M6QQ+5X3, Jl. Mohamad Hatta, Sukamanah, Kec. Cipedes, Kab. Tasikmalaya, Jawa Barat 46131, Indonesia","Jawa Barat 46131","Kab. Tasikmalaya",4.5,29,1,0,2,0,20,"Mesjid El Haqi","Adu Manis; Rumah Makan KOTO BARu (Masakan Padang)","","google","ChIJl2MQ5qVbby4Rt4Du3JS0bl8","PENDING"
"CIREONG NATURAL VIEW FARMING",-7.269285,108.2554297,"tourist_attraction","P7J4+75M, Sukaresik, Sindangkasih, Ciamis Regency, West Java 46268, Indonesia","West Java 46268","Ciamis Regency",4.7,56,0,0,0,0,7,"","","","google","ChIJ1wLfn69bby4RM8ME0GQ0O5c","PENDING"
"Galura citanduy",-7.2926156,108.2146511,"tourist_attraction","P647+XV2, Sirnagalih, Indihiang, Tasikmalaya Regency, West Java 46151, Indonesia","West Java 46151","Tasikmalaya Regency",5,1,2,0,3,0,20,"MUSHOLA AL-UBUDIYAH; Dekat masjid darullhuda","Rumah Makan Saung Ranggon; PISANG PASIR ENDES (PISPAS ENDES); Surabi Oncom","","google","ChIJobezPwBRby4RgYeb0vn064M","PENDING"
"Wisata Alam Pinus Batu Cakra",-7.2634571,108.273601,"tourist_attraction","P7PF+JC9, Darmacaang, Cikoneng, Ciamis Regency, West Java 46261, Indonesia","West Java 46261","Ciamis Regency",4.5,325,1,0,0,0,1,"mesjid al-anwar","","","google","ChIJeXNDpvpaby4ROWnhoUFxQJQ","PENDING"
"Cadas Ngampar Valley",-7.2479494,108.3095651,"tourist_attraction","Q825+RRG, Gunungsari, Sadananya, Ciamis Regency, West Java 46256, Indonesia","West Java 46256","Ciamis Regency",4.5,620,0,0,1,0,0,"","Warung Timbel Cadas","","google","ChIJJ9QRMptbby4RHKT2OcRkKj8","PENDING"
"Pantai Pamayangsari",-7.771624500000001,108.0863278,"tourist_attraction","Sindangkerta, Cipatujah, Tasikmalaya Regency, West Java 46189, Indonesia","West Java 46189","Tasikmalaya Regency",4.4,2351,0,0,1,0,0,"","Lesehan ""BERKAH IBU CUCU""","","google","ChIJQ4Rq767fZS4R90LZNfYTfqw","PENDING"
"Wahana Edukasi Sukahaji Waterboom",-7.2671904,108.197404,"tourist_attraction","Jl. Raya Cihaurbeuti, Sukahaji, Kec. Cihaurbeuti, Kabupaten Ciamis, Jawa Barat 46262, Indonesia","Jawa Barat 46262","Kabupaten Ciamis",4.4,1181,1,0,0,1,11,"Masjid AR-RODIAH","","Taspandantasik (Balantick Collection)","google","ChIJ8-awOlFQby4Rm8DiVvyjmg8","PENDING"
"Makam Syekh H. Abdul Ghorib",-7.397269199999999,108.2158728,"mosque","J638+38X, Kampung Jl. Cibeas, Gununggede, Kec. Kawalu, Kab. Tasikmalaya, Jawa Barat 46182, Indonesia","Jawa Barat 46182","Kab. Tasikmalaya",4.8,37,3,0,0,0,7,"MUSHOLA AL- BARKAH CIANJUR KIDUL; Mushola Al-Mubarok; Masjid/Mushola Bani Sar'i","","","google","ChIJBVDt0jtXby4RIF7CAkrTpWY","PENDING"
"Patilasan Sanghyang Prabu Dilaya",-7.3356179,108.1860581,"mosque","M57P+QC3, Linggajaya, Mangkubumi, Tasikmalaya Regency, West Java 46181, Indonesia","West Java 46181","Tasikmalaya Regency",3.9,9,4,0,4,0,20,"Masjid Miftahus salam Gn. Pasaleman; Mesjid Al-Amaliah; Masjid Al-Anhar","Andalusia; Warung Nasi Bruk Brak; Warung Nasi Si Bungsu","","google","ChIJBeim895Wby4RMMRgyFhZxVI","PENDING"
"Makam Syekh Abdul Muhyi",-7.568089299999999,108.0800426,"mosque","C3JJ+Q27, Pamijahan, Bantarkalong, Tasikmalaya Regency, West Java 46187, Indonesia","West Java 46187","Tasikmalaya Regency",4.7,1043,1,0,0,0,0,"Makam Syekh Abdul Muhyi","","","google","ChIJ_____8viZS4Rb6ZI8pQI9f0","PENDING"
"Makam Eyang Prabudilaya",-7.335556,108.185833,"umkm","M57P+Q8G, Jl. Situ Gede, Mangkubumi, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46181, Indonesia","Jawa Barat 46181","Kab. Tasikmalaya",4.7,13,4,0,4,0,20,"Masjid Miftahus salam Gn. Pasaleman; Mesjid Al-Amaliah; Masjid Al-Anhar","Andalusia; Warung Nasi Bruk Brak; Warung Nasi Si Bungsu","","google","ChIJaThlX-5Xby4RHehBJ92idSA","PENDING"
"Pamijahan",-7.3505813,108.2171484,"mosque","J6X8+QV6, Tugujaya, Cihideung, Tasikmalaya Regency, West Java 46126, Indonesia","West Java 46126","Tasikmalaya Regency",4.5,11,4,1,1,0,20,"Masjid At Taqwa; Masjid Asshollu; Mushola Azikri","SAUNG TONCOM & KOPI MAQHA","","google","ChIJ0xnk7aVXby4RD-hkZpzwpKA","PENDING"
"Wisata Religi Syekh Tanubaya",-7.2410121,108.1867184,"mosque","Q55P+HMV, Dawagung, Rajapolah, Tasikmalaya Regency, West Java 46155, Indonesia","West Java 46155","Tasikmalaya Regency",0,0,4,0,1,2,2,"Mushola Al Hidayah; Mushola Al Kautsar; Masjid Dawagung","Saung Lesehan Sumberjaya","Pusat Kerajinan Rajapolah; Taspandantasik (Balantick Collection)","google","ChIJvwKVfQBRby4RrFaC6jZYNuU","PENDING"
"Makom Karomah Syeh Abdul Qalam",-7.361025100000001,108.193194,"tourist_attraction","J5QV+H7P, Cigantang, hilir, Tasikmalaya Regency, West Java 46181, Indonesia","West Java 46181","Tasikmalaya Regency",4.7,3,3,0,3,0,20,"Masjid Al Ikhlas Sukahening; Mesjid; Masjid Al-Ikhlas Sindangasih","Bale Balong Mangkubumi; Abang Judd's Area Foody; Cilok Goang AP","","google","ChIJmydc6olXby4RvmmJMGs79mw","PENDING"
