NAME,LATITUDE,LONGITUDE,CATEGORY,ADDRESS,CITY,PROVINCE,RATING,REVIEWS,NEARBY_MOSQUES,NEARBY_TOILETS,NEARBY_HALAL_FOOD,NEARBY_UMKM,NEARBY_LODGING,MOSQUE_SAMPLES,FOOD_SAMPLES,UMKM_SAMPLES,SOURCE,VENDOR_ID,STATUS
"Wisata Alam Arga Hot Springs Desa Wisata Sundakerta",-7.2149775,108.1031901,"tourist_attraction","Sundakerta, Sukahening, Tasikmalaya Regency, West Java 46155, Indonesia","West Java 46155","Tasikmalaya Regency",4.6,642,1,0,0,0,1,"Mushola An Nur","","","google","ChIJ3czST1hNby4RLRcH5sWhwXg","PENDING"
"Wisata Alam Cipatuh",-7.2057076,108.0734563,"tourist_attraction","Q3VF+P98, Sundakerta, Sukahening, Tasikmalaya Regency, West Java 46155, Indonesia","West Java 46155","Tasikmalaya Regency",4.5,136,0,0,0,0,0,"","","","google","ChIJI_jsVdBNby4RODUujfKlz0E","PENDING"
"Wisata Alam Jabal Nur hotspring",-7.2189574,108.1115682,"tourist_attraction","Q4J6+CJ8, Sukasetia, Cisayong, Tasikmalaya Regency, West Java 46153, Indonesia","West Java 46153","Tasikmalaya Regency",4.3,442,0,0,0,0,1,"","","","google","ChIJuZfpG6VNby4R36Xag7gDN_4","PENDING"
"Taman Wisata Karang Resik",-7.3114939,108.2392919,"tourist_attraction","Jl. Mohamad Hatta, Sukamanah, Kec. Cipedes, Kab. Tasikmalaya, Jawa Barat 46131, Indonesia","Jawa Barat 46131","Kab. Tasikmalaya",4.3,9291,1,0,3,0,20,"Masjid Al Abror- Sukagalih","Ngeumi Sukamanah; Adu Manis; Rumah Makan KOTO BARu (Masakan Padang)","","google","ChIJbUJp3ABaby4R-JbNrl7GN8o","PENDING"
"Curug Ciparay Tasikmalaya",-7.2762248,108.0317206,"tourist_attraction","Cigalontang, Jl, Cidugaleun, Kec. Sariwangi, Kabupaten Tasikmalaya, Jawa Barat 46463, Indonesia","Jawa Barat 46463","Kabupaten Tasikmalaya",4.6,779,0,0,0,0,0,"","","","google","ChIJzz8-hCStaC4RV4psNgwr-20","PENDING"
"Bukit Panyangrayan",-7.447399599999999,108.178224,"tourist_attraction","Kp.Pramuka Sadaukir kapunduhan barumekar, Sukapura, Kec. Sukaraja, Kabupaten Tasikmalaya, Jawa Barat 46183, Indonesia","Jawa Barat 46183","Kabupaten Tasikmalaya",4.6,779,0,0,0,0,0,"","","","google","ChIJC1Cm-ef5ZS4RwUQvcEqr0ro","PENDING"
"Pasir Pataya",-7.3622903,108.2772321,"tourist_attraction","J7RG+7VV, Ciakar, Cibeureum, Tasikmalaya Regency, West Java 46196, Indonesia","West Java 46196","Tasikmalaya Regency",4.3,627,4,0,1,0,10,"MESJID DKM AL-IKHLAS Ciakar Wuluh; Masjid Al-Hikmah; Mushola Al ikhlas","Saung Kai 3","","google","ChIJqdnDdy1Zby4RZCiZmdThMZc","PENDING"
"Wisata Alam Kampung Nusa dan Ziarah Kh. TB Abdullah",-7.3181688,108.2530121,"tourist_attraction","Jl. KH Tubagus Abdullah Sukabetah RW 06, Sukaasih, Kec. Purbaratu, Kab. Tasikmalaya, Jawa Barat 46196, Indonesia","Jawa Barat 46196","Kab. Tasikmalaya",4.6,5,0,0,2,0,20,"","Abood Kebuli & Cafe Amazing; Usus Sultan JB","","google","ChIJa571NglZby4RETXgqe08WxE","PENDING"
"Wisata Alam Pasir Kirisik",-7.1043091,108.2014696,"tourist_attraction","Guranteng, Pagerageung, Tasikmalaya Regency, West Java 46158, Indonesia","West Java 46158","Tasikmalaya Regency",4.2,1668,0,0,0,0,4,"","","","google","ChIJ9b1kvlBIby4Ri5bbJjiEz38","PENDING"
"Wisata Alam Batu Mahpar Galunggung",-7.303838999999999,108.065394,"tourist_attraction","Sukamulih, Sariwangi, Tasikmalaya Regency, West Java 46465, Indonesia","West Java 46465","Tasikmalaya Regency",4.3,1506,1,0,0,0,1,"Mushola Al Ma'arif japaleng","","","google","ChIJiTzHNUdTby4RNG0Caa5cXMk","PENDING"
